"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 01 01:27:54 UTC 2024","Wed May 01 01:54:41 UTC 2024","1607578","tests.integration","test_db_admin","","","","test_landscape_scalable_bundle_db","Deploy Landscape Scalable Bundle to test the 'db-admin' relation."
"passed","Wed May 01 01:40:01 UTC 2024","Wed May 01 01:40:02 UTC 2024","1027","tests.integration","test_charm","","","","test_settings_are_correct[1]",""
"passed","Wed May 01 02:03:05 UTC 2024","Wed May 01 02:04:57 UTC 2024","112323","tests.integration","test_db","","","","test_roles_blocking",""
"passed","Wed May 01 01:28:13 UTC 2024","Wed May 01 01:40:43 UTC 2024","750912","tests.integration","test_config","","","","test_config_parameters","Build and deploy one unit of PostgreSQL and then test config with wrong parameters."
"passed","Wed May 01 02:01:05 UTC 2024","Wed May 01 02:10:14 UTC 2024","548258","tests.integration.new_relations","test_new_relations","","","","test_relation_data_is_updated_correctly_when_scaling","Test that relation data, like connection data, is updated correctly when scaling."
"passed","Wed May 01 01:40:02 UTC 2024","Wed May 01 01:40:03 UTC 2024","1029","tests.integration","test_charm","","","","test_settings_are_correct[2]",""
"passed","Wed May 01 01:36:58 UTC 2024","Wed May 01 01:50:12 UTC 2024","793184","tests.integration.ha_tests","test_restore_cluster","","","","test_build_and_deploy","Build and deploy two PostgreSQL clusters."
"passed","Wed May 01 01:28:21 UTC 2024","Wed May 01 01:53:33 UTC 2024","1512100","tests.integration","test_backups","","","","test_backup","Build and deploy two units of PostgreSQL and then test the backup and restore actions."
"passed","Wed May 01 01:41:25 UTC 2024","Wed May 01 01:46:24 UTC 2024","299040","tests.integration","test_password_rotation","","","","test_password_rotation","Test password rotation action."
"passed","Wed May 01 01:47:11 UTC 2024","Wed May 01 01:47:20 UTC 2024","9453","tests.integration","test_password_rotation","","","","test_no_password_change_on_invalid_password","Test that in general, there is no change when password validation fails."
"passed","Wed May 01 01:53:29 UTC 2024","Wed May 01 01:53:57 UTC 2024","28263","tests.integration.new_relations","test_new_relations","","","","test_no_read_only_endpoint_in_standalone_cluster","Test that there is no read-only endpoint in a standalone cluster."
"passed","Wed May 01 01:58:03 UTC 2024","Wed May 01 01:58:06 UTC 2024","2940","tests.integration.new_relations","test_new_relations","","","","test_database_relation_with_charm_libraries","Test basic functionality of database relation interface."
"passed","Wed May 01 01:42:21 UTC 2024","Wed May 01 01:54:04 UTC 2024","702601","tests.integration","test_db","","","","test_relation_data_is_updated_correctly_when_scaling","Test that relation data, like connection data, is updated correctly when scaling."
"passed","Wed May 01 01:28:00 UTC 2024","Wed May 01 01:42:21 UTC 2024","861429","tests.integration","test_db","","","","test_mailman3_core_db","Deploy Mailman3 Core to test the 'db' relation."
"passed","Wed May 01 01:40:01 UTC 2024","Wed May 01 01:40:05 UTC 2024","3230","tests.integration.ha_tests","test_upgrade_from_stable","","","","test_pre_upgrade_check","Test that the pre-upgrade-check action runs successfully."
"passed","Wed May 01 01:28:13 UTC 2024","Wed May 01 01:41:24 UTC 2024","790749","tests.integration.ha_tests","test_replication","","","","test_build_and_deploy","Build and deploy three unit of PostgreSQL."
"broken","Wed May 01 01:28:04 UTC 2024","Wed May 01 01:44:09 UTC 2024","964971","tests.integration","test_tls","","","","test_tls_enabled","Test that TLS is enabled when relating to the TLS Certificates Operator."
"passed","Wed May 01 01:48:13 UTC 2024","Wed May 01 01:50:38 UTC 2024","145348","tests.integration.ha_tests","test_self_healing","","","","test_freeze_db_process[/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]",""
"passed","Wed May 01 01:40:00 UTC 2024","Wed May 01 01:40:01 UTC 2024","1032","tests.integration","test_charm","","","","test_settings_are_correct[0]",""
"passed","Wed May 01 01:46:33 UTC 2024","Wed May 01 01:48:11 UTC 2024","98518","tests.integration.ha_tests","test_self_healing","","","","test_freeze_db_process[postgres]",""
"broken","Wed May 01 02:03:15 UTC 2024","Wed May 01 02:03:22 UTC 2024","6941","tests.integration.ha_tests","test_self_healing","","","","test_network_cut_without_ip_change","Completely cut and restore network (situation when the unit IP doesn't change)."
